"","gene_name","x","x.name","y","y.name","comparison","hit_annotation"
"116","PDCD4",0.46179899508904,"single_ko_vs_wt",0.00720375024118525,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"117","ZNF48",-0.375861852507924,"single_ko_vs_wt",-0.249653450215483,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"118","MVD",0.375060412415522,"single_ko_vs_wt",-0.130655524879202,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"119","L3HYPDH",-0.331942815495466,"single_ko_vs_wt",-0.00189581531802219,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"120","METTL9|PAP1",-0.358656615521159,"single_ko_vs_wt",-0.102768646051175,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"121","CARS",-0.364399353340442,"single_ko_vs_wt",-0.0738914551025651,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"122","TXNDC16",0.312021358368987,"single_ko_vs_wt",-0.0111915299314163,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"123","SMC1A",0.366588391774016,"single_ko_vs_wt",-0.0458321841368843,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"124","ACYP2",0.628203897761647,"single_ko_vs_wt",-0.184172363488376,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"125","DYNC1LI2",0.528146018391762,"single_ko_vs_wt",-0.285151631752907,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"126","MKI67",0.406408303766948,"single_ko_vs_wt",-0.041495110156621,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"127","RCN1",-0.425573114258707,"single_ko_vs_wt",-0.0806401119857689,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"128","TTC12",-0.420201423584203,"single_ko_vs_wt",0.0601140991000939,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"129","ARRDC1",-0.458287173578768,"single_ko_vs_wt",-0.198309726123519,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"130","RNF169",-0.354222871264287,"single_ko_vs_wt",0.0556794070187863,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"131","KNOP1",-0.347766266069584,"single_ko_vs_wt",-0.310928151634613,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"132","FAM188A",-0.460909070633711,"single_ko_vs_wt",0.0249437753886816,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"133","SYK",0.388170371656727,"single_ko_vs_wt",-0.614319585222031,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"134","PTS",-0.474978183473048,"single_ko_vs_wt",-0.12789000123896,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"135","CHID1",-0.348031023195283,"single_ko_vs_wt",0.0197232265864464,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"136","PDDC1",-0.299388158831402,"single_ko_vs_wt",0.227184715589079,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"137","PAPSS2",-0.338940137447551,"single_ko_vs_wt",-0.0658598444413911,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"138","ALKBH2",-0.522328935988028,"single_ko_vs_wt",0.345366690164713,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"139","HLTF",-0.314160736529509,"single_ko_vs_wt",0.297637229624915,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"140","H1F0",-0.586560826386961,"single_ko_vs_wt",-0.12014075161488,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"141","POLR3E",-0.366985675746658,"single_ko_vs_wt",-0.0472383876194051,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"142","SNAI2",0.417369863040619,"single_ko_vs_wt",0.867861345199199,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"143","AHNAK",-0.400504693207679,"single_ko_vs_wt",-0.299159773778339,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"144","ITGA6",-0.357158280817419,"single_ko_vs_wt",-0.308920502865959,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"145","SPG7",0.426577611466968,"single_ko_vs_wt",-0.0780418708390833,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"146","ABAT",-0.533954803128637,"single_ko_vs_wt",-0.10690314937268,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"147","CUTC",0.392139429145107,"single_ko_vs_wt",-0.0663982933795779,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"148","FCHSD2",-0.303305117888243,"single_ko_vs_wt",0.158502111513453,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"149","RBP1",-0.474738171610785,"single_ko_vs_wt",0.124868158155287,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"150","GFPT2",-0.381560449547692,"single_ko_vs_wt",0.114910094044632,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"151","CKAP5",-0.314219464447074,"single_ko_vs_wt",0.161837061951765,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"152","PRCC",-0.333781202259061,"single_ko_vs_wt",0.107048981588829,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"153","GSTP1",-0.306323642520955,"single_ko_vs_wt",-0.0498857736879366,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"154","KARS",0.37190373285905,"single_ko_vs_wt",-0.0405655811482291,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"155","GSPT1",-0.325718859867163,"single_ko_vs_wt",0.0537440474113069,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"156","STIM1",-0.312242443735382,"single_ko_vs_wt",0.0515624543972706,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"157","TSR3",-0.47221446523017,"single_ko_vs_wt",0.207072631323236,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"158","DSC2",-0.311864984984012,"single_ko_vs_wt",-0.366540434074391,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"159","ZNF460",0.369951259532407,"single_ko_vs_wt",-0.418071304528642,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"160","ITGA4",-0.398220501150885,"single_ko_vs_wt",-0.338047017271766,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"161","CBSL|CBS",-0.291240159337121,"single_ko_vs_wt",0.0902783949624855,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"162","NUBP1",-0.346953018097036,"single_ko_vs_wt",0.0479249606401808,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"163","MAF",0.439222600225058,"single_ko_vs_wt",0.19695318569936,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"164","TUFM",-0.385855547076616,"single_ko_vs_wt",-0.0314703945179069,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"165","POFUT2",0.371318115885078,"single_ko_vs_wt",0.174953338227564,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"166","SIRT3",-0.345304342200723,"single_ko_vs_wt",0.0111926115825298,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"167","GPATCH2L",0.359754598031017,"single_ko_vs_wt",0.119490382133797,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"168","EEF2K",-0.391061407831298,"single_ko_vs_wt",-0.163619600113837,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"169","HPS3",-0.310685998549193,"single_ko_vs_wt",-0.0115868242637482,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"170","OGFOD1",0.305209257662625,"single_ko_vs_wt",0.0866193835007785,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"171","RPA2",0.2933117070653,"single_ko_vs_wt",0.0738959228602312,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"172","SPG20",-0.316026503945235,"single_ko_vs_wt",0.398402413792621,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"173","USP28",-0.311652786563219,"single_ko_vs_wt",0.112326375868317,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"174","CPT1A",-0.372014696426575,"single_ko_vs_wt",0.00747001881976672,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
